word	pknown	prevalence	nobs
adjudication	0.9231	1.397	455
adjudicative	0.8144	0.883	361
adjudicator	0.9234	1.400	418
adjunct	0.9197	1.375	411
adjunction	0.8385	0.974	390
adjunctive	0.8557	1.046	395
adjunctively	0.8416	0.987	404
adjuration	0.6280	0.323	414
adjuratory	0.4474	-0.131	371
adjure	0.7471	0.658	431
adjurer	0.5835	0.209	425
adjust	0.9897	2.166	390
adjustability	0.9823	2.005	396
adjustable	1.0000	2.576	406
adjustably	0.8282	0.934	262
adjuster	0.9663	1.770	386
adjustment	0.9954	2.344	435
adjustor	0.9339	1.473	454
adjutancy	0.4462	-0.134	381
adjutant	0.5892	0.223	426
adjuvant	0.5275	0.068	364
adman	0.4711	-0.072	380
admeasure	0.3333	-0.426	417
admin	0.9192	1.373	421
administer	0.9854	2.066	412
administrable	0.8579	1.055	401
administrant	0.7087	0.543	381
administrate	0.9672	1.780	396
administration	0.9977	2.445	441
administrational	0.8289	0.937	409
administrative	0.9954	2.344	435
administratively	0.9726	1.851	402
administrator	0.9871	2.102	388
admirable	1.0000	2.576	393
admirableness	0.6573	0.401	248
admirably	0.9948	2.322	386
admiral	1.0000	2.576	382
admiralship	0.8015	0.836	403
admiralty	0.8415	0.986	410
admiration	0.9976	2.437	412
admire	0.9954	2.345	439
admired	1.0000	2.576	440
admirer	0.9947	2.317	377
admiring	0.9838	2.032	431
admiringly	0.9737	1.866	380
admissibility	0.9164	1.355	383
admissible	0.9740	1.870	423
admissibleness	0.6010	0.253	208
admissibly	0.9150	1.346	247
admission	0.9976	2.440	423
admissive	0.9328	1.465	402
admit	0.9948	2.320	382
admittance	0.9925	2.245	402
admitted	0.9924	2.240	393
admittedly	0.9865	2.088	443
admitter	0.8608	1.068	431
admix	0.2474	-0.675	384
admixture	0.4382	-0.154	356
admonish	0.9050	1.287	421
admonisher	0.8786	1.150	412
admonishingly	0.8571	1.052	392
admonishment	0.9125	1.331	423
admonition	0.8953	1.234	382
admonitory	0.5695	0.173	367
adnexa	0.0813	-1.369	160
adnexal	0.1145	-1.183	166
adnominal	0.4656	-0.086	363
adnoun	0.2222	-0.755	342
ado	0.8360	0.965	433
adobe	0.9735	1.863	377
adolescence	0.9882	2.128	424
adolescent	0.9832	2.021	417
adolescently	0.8093	0.864	194
adopt	0.9973	2.424	369
adoptability	0.9389	1.510	360
adoptable	0.9901	2.177	406
adopted	1.0000	2.576	415
adoptee	0.9720	1.842	393
adopter	0.9474	1.580	418
adoption	1.0000	2.576	429
adoptive	0.9950	2.330	404
adoptively	0.8561	1.047	410
adorability	0.8489	1.017	417
adorable	0.9916	2.218	359
adorableness	0.8869	1.190	274
adorably	0.9845	2.047	387
adoration	0.9915	2.213	351
adore	0.9952	2.334	413
adorer	0.8883	1.198	412
adoring	0.9920	2.228	374
adoringly	0.9821	2.001	448
adorn	0.9625	1.727	427
adorner	0.8807	1.160	394
adornment	0.9754	1.890	406
adown	0.1432	-1.050	377
adrenal	0.9113	1.324	451
adrenalin	0.9224	1.393	438
adrenaline	0.9924	2.241	395
adrenergic	0.2622	-0.629	370
adrenocortical	0.5472	0.117	159
adrenocorticotropic	0.3793	-0.304	145
adrift	0.9764	1.906	382
adroit	0.6845	0.475	393
adroitly	0.6713	0.439	432
adroitness	0.6998	0.518	423
adscript	0.4938	-0.015	401
adscription	0.2457	-0.680	232
adsorb	0.4733	-0.066	374
adsorbent	0.5161	0.040	403
adsorption	0.5000	0.000	376
adsorptive	0.3359	-0.419	396
adularia	0.1100	-1.206	409
adulate	0.7580	0.692	376
adulation	0.8791	1.152	397
adulator	0.6841	0.474	383
adulatory	0.7474	0.659	384
adult	1.0000	2.576	385
adulterant	0.7066	0.537	351
adulterate	0.9238	1.402	407
adulteration	0.9504	1.606	423
adulterator	0.7315	0.610	432
adulterer	0.9787	1.942	423
adulteress	0.9679	1.789	405
adulterine	0.2696	-0.607	382
adulterous	0.9929	2.256	423
adulterously	0.9283	1.432	237
adultery	0.9943	2.301	348
adulthood	0.9951	2.332	408
adultlike	0.8740	1.128	389
adultness	0.7375	0.628	240
adumbral	0.1678	-0.950	453
adumbrate	0.1978	-0.839	460
adumbration	0.1627	-0.970	418
adumbrative	0.1422	-1.055	422
adumbratively	0.1250	-1.132	240
advance	0.9973	2.426	376
advanced	0.9952	2.335	415
advancement	0.9953	2.338	422
advancer	0.8811	1.161	412
advancing	0.9925	2.244	401
advantage	0.9973	2.423	366
advantageous	0.9806	1.974	413
advantageously	0.9580	1.679	381
advantageousness	0.8214	0.909	224
advection	0.2620	-0.630	439
advent	0.9950	2.330	404
adventitia	0.1517	-1.014	435
adventitious	0.4466	-0.133	412
adventitiously	0.4615	-0.096	377
adventitiousness	0.3373	-0.415	252
adventure	0.9973	2.423	367
adventurer	0.9866	2.092	449
adventuresome	0.9194	1.373	434
adventuress	0.7889	0.793	398
adventurism	0.8557	1.046	395
adventurist	0.8971	1.243	408
adventurous	0.9976	2.440	422
adventurously	0.9583	1.682	360
adventurousness	0.8894	1.203	425
adverb	0.9976	2.436	409
adverbial	0.8149	0.884	443
adverbially	0.6165	0.293	399
adversarial	0.9494	1.597	336
adversary	0.9885	2.136	436
adversative	0.5795	0.199	390
adversatively	0.5045	0.011	224
adverse	0.9954	2.344	436
adversely	0.9856	2.069	416
adverseness	0.8627	1.076	204
adversity	0.9870	2.100	385
advert	0.9592	1.691	392
advertence	0.4419	-0.145	387
advertency	0.5304	0.075	428
advertent	0.6759	0.452	395
advertently	0.8764	1.139	267
