family,subband,rank,pos_in_band,zipf,prevalence,cefr,gse,awl,pos,members,definition,example
previous,2k-a,1105,407,3.978,0.9977,B1,,1,adj,previously,,
investigate,2k-a,1193,408,3.977,0.9973,B1,,1,v,investigated|investigates|investigating|investigation|investigations|investigative|investigator|investigators|investigatory,,
cent,2k-a,1016,409,3.977,0.9904,A1,,0,n,cents,,
poet,2k-a,1431,410,3.965,1.0000,B1,,0,n,poetess|poetesses|poetic|poetical|poetically|poetry|poets,,
population,2k-a,1168,411,3.959,0.9974,A2,,0,n,populate|populated|populates|populating|populations|unpopulated,,
discipline,2k-a,1331,412,3.957,0.9977,B2,,0,n,disciplinarian|disciplinary|disciplined|disciplines|disciplining|indiscipline|interdisciplinary|undisciplined,,
profession,2k-a,1083,413,3.956,0.9899,B1,,1,n,pro|professional|professionalism|professionality|professionally|professionals|professions|pros|semipro|semipros|semiprofessional|semiprofessionals|unprofessional|nonprofessional,,
associate,2k-a,1053,414,3.954,0.9975,B2,,0,v,associated|associates|associateship|associateships|associating|association|associations|associative|associatively,,
various,2k-a,1153,415,3.952,0.9859,B1,,0,adj,variously,,
protest,2k-a,1401,416,3.944,0.9955,B1,,0,n|v,protestation|protestations|protested|protester|protesters|protesting|protestor|protestors|protests,,
november,2k-a,1212,417,3.943,0.9896,A1,,0,n,nov,,
increase,2k-a,1005,418,3.932,0.9918,A2,,0,v|n,increased|increases|increasing|increasingly,,
determine,2k-a,1109,419,3.924,0.9931,B1,,0,v,determinable|determinant|determinants|determination|determinations|determinative|determined|determinedly|determines|determining|determinism|determinist|deterministic|deterministically|determinists|indeterminacies|indeterminacy|undetermined,,
compare,2k-a,1099,420,3.922,0.9872,A1,,0,v,comparability|comparable|comparably|compared|compares|comparing|comparison|comparisons|incomparable|incomparably,,
indicate,2k-a,1119,421,3.921,1.0000,B1,,1,v,indicated|indicates|indicating|indication|indications|indicative|indicator|indicators,,
emotion,2k-a,1384,422,3.919,0.9976,B1,,0,n,emotional|emotionally|emotionless|emotionlessly|emotions|unemotional|unemotionally,,
instrument,2k-a,1424,423,3.909,0.9974,A2,,0,n,instrumental|instrumentalist|instrumentalists|instrumentation|instruments,,
improve,2k-a,1089,424,3.909,0.9907,A1,,0,v,improved|improvement|improvements|improver|improvers|improves|improving|unimproved,,
recover,2k-a,1325,425,3.905,0.9976,B2,,1,v,irrecoverable|recoverable|recovered|recoveries|recovering|recovers|recovery,,
defence,2k-a,1166,426,3.905,0.9098,B2,,0,n,defenceless|defencelessly|defences|defense|defenses|defensible|defensibly|defensive|defensively|defensiveness|indefensible|indefensibly|defenseless|defenselessly,,
skill,2k-a,1150,427,3.899,0.9976,A1,,0,n,skilful|skilfully|skilled|skillful|skillfully|skilling|skills|unskillful|unskilfully|unskilled|unskillfully|semiskilled,,
assist,2k-a,1209,428,3.895,0.9947,B1,,1,v,assistance|assistant|assistants|assisted|assisting|assists|unassisted,,
maximum,2k-a,1445,429,3.891,1.0000,B2,,0,adj|n,max|maximums,,
december,2k-a,1186,430,3.881,1.0000,A1,,0,n,dec,,
react,2k-a,1221,431,3.878,0.9975,A2,,1,v,overreact|overreacted|overreacting|overreaction|overreactions|overreacts|reactance|reactant|reactants|reacted|reacting|reaction|reactionaries|reactionary|reactions|reactive|reactivity|reactor|reactors|reacts|unreactive,,
occur,2k-a,1133,432,3.872,0.9950,B1,,1,v,occurred|occurrence|occurrences|occurring|occurs|reoccur|reoccurred|reoccurring|reoccurs,,
income,2k-a,1188,433,3.870,0.9976,B2,,1,n,incomes,,
regard,2k-a,1111,434,3.867,0.9924,B2,,0,v|n,regarded|regarding|regardless|regards,,
